SMILES,Molecular_Weight,LogP,QED,Lipinski_H_Bond_Donors,Lipinski_H_Bond_Acceptors,Lipinski_Rule_Violation
COCC(=O)N(C)CC(=O)N1C[C@@H]2[C@H](C1)[C@H]2NC(=O)c1ncccn1,347.37500000000006,-1.231999999999996,0.6907436582028277,1,6,0
O=C(O)CN1CCC[C@@H](C(=O)NC[C@H]2CCCC3(CCC3)O2)C1=O,338.40400000000017,0.9175999999999989,0.7267889362638015,2,4,0
C=CCN1C(=O)C(=O)N(CC(=O)N[C@@H]2COC[C@H]2OC)C1=O,311.29400000000004,-1.5067999999999977,0.3632492577038356,1,6,0
C/C=C(/C)C(=O)N1CCC[C@@H](NC(=O)/C=C/C(C)(C)C)C1,292.42300000000006,2.6621000000000015,0.8130368934034664,1,2,0
Cc1cnn(CC(=O)N2CCCN(C(=O)[C@@H]3CCC(=O)N3C)CC2)c1,347.4190000000001,-0.12677999999999834,0.7632192931095972,0,5,0
O=C(CN1CC2(CCC2)[C@H]1C1CCOCC1)NC1CCCCCC1,334.50400000000025,3.1065000000000014,0.8033634466774054,1,3,0
CC[C@H](C#N)N(CC)C(=O)Cn1ccc2ccc(Cl)cc21,303.79300000000006,3.4453800000000028,0.8492013464313843,0,3,0
CCN1CC[C@H](N2CC[C@@H]2CNC(=O)CN(C)S(C)(=O)=O)C1=O,346.4530000000001,-1.3108999999999962,0.6181118788951866,1,5,0
CC(C)n1cc(CN2C[C@H]3C(NC(=O)[C@H]4CCC(=O)N4)[C@@H]3C2)nn1,332.4080000000001,-0.31599999999999784,0.7712193864816246,2,6,0
O=C(C=C(C1CC1)C1CC1)N1CC[C@H](C2CCC2)C1,259.393,3.381400000000002,0.7087479709631596,0,1,0
C[C@H]1[C@H](NC(=O)C2(C)CC2)CCN1C(=O)CCC1(C)CC1,292.423,2.4723999999999995,0.8460183259309352,1,2,0
C=CCOCCCC(=O)N[C@@H]1CN(CC(=O)NC)C[C@H]1O,299.37100000000004,-1.1234999999999977,0.37038645597805786,3,5,0
CCC(CC)C(=O)N1CCC[C@H](NC(=O)c2[nH]ccc2C)[C@@H]1C,319.44900000000007,2.868620000000001,0.8762262148370233,2,2,0
Cc1cc(C(=O)NCCN2CCN(CCO)CC2)ccn1,292.3829999999999,-0.2702799999999985,0.7552921305793027,2,5,0
Cc1cc(C)cc(C(=O)NC[C@@H](C)CN2CCCC2)c1,274.40799999999996,2.7651400000000015,0.895187911189226,1,2,0
C[C@H](CN(C)C(=O)CCCn1cccn1)NC(=O)c1ccon1,319.36500000000007,0.9281999999999992,0.7809881255573907,1,6,0
CCCc1cc(C(=O)NN2CCC(C(C)(C)C)CC2)cc(O)n1,319.449,3.142600000000002,0.8945849809114339,2,4,0
CC(C)N1CCN(c2nc(=N)[nH]c(=N)[nH]2)CC1=O,251.29400000000004,-1.2462599999999981,0.526180168201294,4,5,0
CCC[C@H](NC(=O)c1csc(NC(C)=O)n1)C(C)(C)C,297.42400000000004,3.046100000000002,0.8771748400290516,2,4,0
C[C@@H]1C[C@@H](C(C)(C)C)CCN1c1nc2[nH][nH]cc-2c(=N)n1,288.399,2.3680699999999995,0.752860718489887,3,4,0
CCc1nc2cc(NC(=O)C(C)(F)F)ccc2o1,254.23599999999996,2.983900000000001,0.9155881556027964,1,3,0
Cc1cc(N2CC[C@H]3CN(C(=O)CNC(N)=O)CC[C@H]32)ncn1,318.38100000000003,-0.11947999999999825,0.8083456132120564,2,5,0
Cc1nnc(CN2CC[C@@H]2CNC(=O)[C@@H]2CCCc3n[nH]cc32)o1,330.39200000000005,0.9117199999999996,0.8451817406857861,2,6,0
CC(=O)N[C@@H]1CCCO[C@H]1C1CCN(C(=O)c2cc(C)c(C)o2)CC1,348.44300000000015,2.43234,0.9105723678571311,1,4,0
O=C(N[C@@H]1CC[C@@H]2CNC[C@H]2C1)N[C@@H](c1ccc(F)cc1)C1CCC1,345.46200000000016,3.3542000000000023,0.7837336534985944,3,2,0
C[C@@H](C(=O)O[C@@H]1CCN(C2CC2)C1=O)c1cccc([N+](=O)[O-])c1,318.32900000000006,2.0048,0.4704107557386113,0,5,0
CC(C)[C@@](C)(NC(=O)c1ccc(S(N)(=O)=O)o1)C(N)=O,303.3400000000001,-0.4431999999999982,0.6744164808174476,3,5,0
CC(C)[C@@H](CNC(=O)C(C)(C)C1CC1)NC(=O)[C@@]1(C)CCOC1,324.46500000000015,2.1062,0.7535105765547426,2,3,0
Cc1nn[nH]c1C(=O)N1C[C@H](NC(=O)c2ccsn2)C[C@@H]1C,320.37800000000004,0.6026199999999999,0.8617612127881822,2,6,0
Cc1cc(CNC[C@@H]2CCC[C@@H]2NC(=O)c2nnn(C)n2)nn1C,332.41200000000003,-0.05967999999999907,0.7681989481893362,2,8,0
